#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 03 10 45  60  4.6 99.0 99.00 99.00 99.00 999 9999.0   5.8   5.1   4.5 99.0 99.00
2023 01 03 11 15  60  5.1 99.0 99.00 99.00 99.00 999 9999.0   5.8   5.0   4.5 99.0 99.00
2023 01 03 11 45  50  5.1 99.0 99.00 99.00 99.00 999 9999.0   5.8   5.1   4.5 99.0 99.00
2023 01 03 12 15  60  5.1 99.0 99.00 99.00 99.00 999 9999.0   5.7   5.0   4.6 99.0 99.00
2023 01 03 12 45  60  5.7 99.0 99.00 99.00 99.00 999 9999.0   5.7   5.0   4.6 99.0 99.00
2023 01 03 13 15  60  5.1 99.0 99.00 99.00 99.00 999 9999.0   5.7   5.0   4.6 99.0 99.00
2023 01 03 13 45  60  4.6 99.0 99.00 99.00 99.00 999 9999.0   5.7   5.0   4.7 99.0 99.00
2023 01 03 14 15  30  4.1 99.0 99.00 99.00 99.00 999 9999.0   5.8   5.0   4.7 99.0 99.00
2023 01 03 14 45  20  4.6 99.0 99.00 99.00 99.00 999 9999.0   5.9   5.0   4.9 99.0 99.00
2023 01 03 15 15  50  3.6 99.0 99.00 99.00 99.00 999 9999.0   6.0   5.0   5.0 99.0 99.00
2023 01 03 15 45 350  3.1 99.0 99.00 99.00 99.00 999 9999.0   5.9   5.0   4.9 99.0 99.00
2023 01 03 16 15  40  1.0 99.0 99.00 99.00 99.00 999 9999.0   6.7   5.0   5.8 99.0 99.00
2023 01 03 16 45 120  1.5 99.0 99.00 99.00 99.00 999 9999.0   6.3   5.0   5.4 99.0 99.00
2023 01 03 17 15  80  1.0 99.0 99.00 99.00 99.00 999 9999.0   6.3   5.1   5.4 99.0 99.00
2023 01 03 17 45  10  1.5 99.0 99.00 99.00 99.00 999 9999.0   6.3   5.0   5.5 99.0 99.00
2023 01 03 18 15 170  2.1 99.0 99.00 99.00 99.00 999 9999.0   6.3   5.2   5.4 99.0 99.00
2023 01 03 18 45 160  1.0 99.0 99.00 99.00 99.00 999 9999.0   7.1   5.1   6.3 99.0 99.00
2023 01 03 19 15 280  1.5 99.0 99.00 99.00 99.00 999 9999.0   6.4   5.2   5.6 99.0 99.00
2023 01 03 19 45   0  0.0 99.0 99.00 99.00 99.00 999 9999.0   6.7   5.2   5.9 99.0 99.00
2023 01 03 20 15 120  0.5 99.0 99.00 99.00 99.00 999 9999.0   6.9   5.2   6.0 99.0 99.00
2023 01 03 20 45 190  5.1 99.0 99.00 99.00 99.00 999 9999.0   9.3   5.2   8.6 99.0 99.00
2023 01 03 21 15 190  5.1 99.0 99.00 99.00 99.00 999 9999.0   9.3   5.2   8.5 99.0 99.00
2023 01 03 21 45 190  4.6 99.0 99.00 99.00 99.00 999 9999.0   9.5   5.2   8.7 99.0 99.00
2023 01 03 22 15 190  4.1 99.0 99.00 99.00 99.00 999 9999.0   9.9   5.2   9.2 99.0 99.00
2023 01 03 22 45 230  2.6 99.0 99.00 99.00 99.00 999 9999.0   8.9   5.1   8.0 99.0 99.00
2023 01 03 23 15 260  2.6 99.0 99.00 99.00 99.00 999 9999.0   8.1   5.1   7.3 99.0 99.00
2023 01 03 23 45 200  1.5 99.0 99.00 99.00 99.00 999 9999.0   8.1   5.1   7.2 99.0 99.00
2023 01 04 00 15 130  2.1 99.0 99.00 99.00 99.00 999 9999.0   8.4   5.1   7.6 99.0 99.00
2023 01 04 00 45 130  2.1 99.0 99.00 99.00 99.00 999 9999.0   8.1   5.1   7.4 99.0 99.00
2023 01 04 01 15 260  1.0 99.0 99.00 99.00 99.00 999 9999.0   8.5   5.2   7.8 99.0 99.00
2023 01 04 01 45 290  1.5 99.0 99.00 99.00 99.00 999 9999.0   7.7   5.3   7.0 99.0 99.00
2023 01 04 02 15 290  2.1 99.0 99.00 99.00 99.00 999 9999.0   7.8   5.2   7.1 99.0 99.00
2023 01 04 02 45  30  0.5 99.0 99.00 99.00 99.00 999 9999.0   7.5   5.3   6.8 99.0 99.00
2023 01 04 03 15  50  0.5 99.0 99.00 99.00 99.00 999 9999.0   8.4   5.3   7.8 99.0 99.00
2023 01 04 03 45 160  1.0 99.0 99.00 99.00 99.00 999 9999.0   7.8   5.3   7.0 99.0 99.00
2023 01 04 04 15 170  1.0 99.0 99.00 99.00 99.00 999 9999.0   8.0   5.2   7.3 99.0 99.00
2023 01 04 04 45  30  1.0 99.0 99.00 99.00 99.00 999 9999.0   7.6   5.2   6.9 99.0 99.00
2023 01 04 05 15 310  0.5 99.0 99.00 99.00 99.00 999 9999.0   7.2   5.2   6.5 99.0 99.00
2023 01 04 05 45 330  1.5 99.0 99.00 99.00 99.00 999 9999.0   7.9   5.2   7.3 99.0 99.00
2023 01 04 06 15 220  2.6 99.0 99.00 99.00 99.00 999 9999.0   7.7   5.2   7.0 99.0 99.00
2023 01 04 06 45 250  1.5 99.0 99.00 99.00 99.00 999 9999.0   7.7   5.2   6.9 99.0 99.00
